2026-07-13 15:52:46,917 | INFO | logger | Logger initialized successfully
2026-07-13 15:52:51,627 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\config.yaml
2026-07-13 15:52:51,644 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\params.yaml
2026-07-13 15:52:51,659 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\schema.yaml
2026-07-13 15:52:51,659 | INFO | common | Created directory at artifacts
2026-07-13 15:52:51,661 | INFO | common | Created directory at artifacts\data_ingestion
2026-07-13 15:53:41,696 | INFO | logger | Logger initialized successfully
2026-07-13 15:53:42,839 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\config.yaml
2026-07-13 15:53:42,849 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\params.yaml
2026-07-13 15:53:42,849 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\schema.yaml
2026-07-13 15:53:42,849 | INFO | common | Created directory at artifacts
2026-07-13 15:53:42,849 | INFO | common | Created directory at artifacts\data_ingestion
2026-07-13 15:54:52,713 | INFO | logger | Logger initialized successfully
2026-07-13 15:54:53,879 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\config.yaml
2026-07-13 15:54:53,879 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\params.yaml
2026-07-13 15:54:53,879 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\schema.yaml
2026-07-13 15:54:53,879 | INFO | common | Created directory at artifacts
2026-07-13 15:54:53,879 | INFO | common | Created directory at artifacts\data_ingestion
2026-07-13 16:05:34,304 | INFO | logger | Logger initialized successfully
2026-07-13 16:05:36,435 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\config.yaml
2026-07-13 16:05:36,435 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\params.yaml
2026-07-13 16:05:36,435 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\schema.yaml
2026-07-13 16:05:36,444 | INFO | common | Created directory at artifacts
2026-07-13 16:05:36,444 | INFO | common | Created directory at artifacts\data_ingestion
2026-07-13 16:10:20,456 | INFO | logger | Logger initialized successfully
2026-07-13 16:10:22,288 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\config.yaml
2026-07-13 16:10:22,292 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\params.yaml
2026-07-13 16:10:22,292 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\schema.yaml
2026-07-13 16:10:22,294 | INFO | common | Created directory at artifacts
2026-07-13 16:10:22,295 | INFO | common | Created directory at artifacts\data_ingestion
2026-07-13 16:12:40,277 | INFO | logger | Logger initialized successfully
2026-07-13 16:12:41,554 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\config.yaml
2026-07-13 16:12:41,554 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\params.yaml
2026-07-13 16:12:41,554 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\schema.yaml
2026-07-13 16:12:41,554 | INFO | common | Created directory at artifacts
2026-07-13 16:12:41,554 | INFO | common | Created directory at artifacts\data_ingestion
2026-07-13 16:12:41,554 | INFO | data_ingestion | Entered download_dataset()
2026-07-13 16:13:13,316 | INFO | data_ingestion | Dataset successfully downloaded and stored at artifacts\data_ingestion\brisc2025
2026-07-13 16:13:59,239 | INFO | logger | Logger initialized successfully
2026-07-13 16:14:01,031 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\config.yaml
2026-07-13 16:14:01,040 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\params.yaml
2026-07-13 16:14:01,040 | INFO | common | YAML file loaded successfully from: C:\Projects\brain_tumor_detection\config\schema.yaml
2026-07-13 16:14:01,040 | INFO | common | Created directory at artifacts
2026-07-13 16:14:01,040 | INFO | common | Created directory at artifacts\data_ingestion
2026-07-13 16:14:01,040 | INFO | data_ingestion | Entered download_dataset()
2026-07-13 16:14:01,040 | INFO | data_ingestion | Dataset already exists at artifacts\data_ingestion\brisc2025. Skipping download.
